"","Category","Time","Stratum","Units","Estimate","Std..Error.for.Estimate","Std..Error.for.ln.Estimate.","STRATA","west_border","east_border","north_border","south_border"
"1",1,2002,"Stratum_1"," [count*km2/km2]",34951.944581617,3675.13336093315,0.154596179690961,"All areas",-Inf,Inf,Inf,-Inf
"2",1,2003,"Stratum_1"," [count*km2/km2]",41303.7461435602,5983.10379720227,0.254214676747438,"All areas",-Inf,Inf,Inf,-Inf
"3",1,2004,"Stratum_1"," [count*km2/km2]",23326.5692142666,2825.92355321389,0.201322621122663,"All areas",-Inf,Inf,Inf,-Inf
"4",1,2005,"Stratum_1"," [count*km2/km2]",17730.9023497849,2197.93192373994,0.194294371976431,"All areas",-Inf,Inf,Inf,-Inf
"5",1,2006,"Stratum_1"," [count*km2/km2]",10683.8441197572,1649.11491241443,0.238346242024959,"All areas",-Inf,Inf,Inf,-Inf
"6",1,2007,"Stratum_1"," [count*km2/km2]",48175.2906341531,7115.36679107457,0.243149950341354,"All areas",-Inf,Inf,Inf,-Inf
"7",1,2008,"Stratum_1"," [count*km2/km2]",11463.6715462847,3967.21873773223,0.749020022911884,"All areas",-Inf,Inf,Inf,-Inf
"8",1,2009,"Stratum_1"," [count*km2/km2]",48697.4435864026,8254.43240519745,0.291908318995742,"All areas",-Inf,Inf,Inf,-Inf
"9",1,2010,"Stratum_1"," [count*km2/km2]",26023.7022591693,3964.56398810336,0.233540207929575,"All areas",-Inf,Inf,Inf,-Inf
"10",1,2011,"Stratum_1"," [count*km2/km2]",27351.679319052,4917.83670509403,0.284207644871553,"All areas",-Inf,Inf,Inf,-Inf
"11",1,2012,"Stratum_1"," [count*km2/km2]",12824.6221344456,2388.74377328758,0.276075549540223,"All areas",-Inf,Inf,Inf,-Inf
"12",1,2013,"Stratum_1"," [count*km2/km2]",19011.2301098633,5137.33785322906,0.495256722062909,"All areas",-Inf,Inf,Inf,-Inf
"13",1,2014,"Stratum_1"," [count*km2/km2]",57863.5290387406,8926.93744486479,0.258447772665482,"All areas",-Inf,Inf,Inf,-Inf
"14",1,2015,"Stratum_1"," [count*km2/km2]",53408.2153986848,13760.249012299,0.507305821190486,"All areas",-Inf,Inf,Inf,-Inf
"15",1,2016,"Stratum_1"," [count*km2/km2]",43982.2635699237,6737.66351912171,0.263790736562287,"All areas",-Inf,Inf,Inf,-Inf
"16",1,2017,"Stratum_1"," [count*km2/km2]",20543.7656220371,5579.92083705019,0.531708786529376,"All areas",-Inf,Inf,Inf,-Inf
"17",1,2018,"Stratum_1"," [count*km2/km2]",176047.352881114,35018.5560677943,0.409054695372577,"All areas",-Inf,Inf,Inf,-Inf
"18",1,2019,"Stratum_1"," [count*km2/km2]",61959.9136938133,11512.3803385252,0.334145881682921,"All areas",-Inf,Inf,Inf,-Inf
"19",1,2020,"Stratum_1"," [count*km2/km2]",0,0,0,"All areas",-Inf,Inf,Inf,-Inf
"20",1,2021,"Stratum_1"," [count*km2/km2]",22241.5864405553,5962.29818741914,0.471252260971393,"All areas",-Inf,Inf,Inf,-Inf
"21",1,2022,"Stratum_1"," [count*km2/km2]",19629.3985924167,4615.27553579522,0.438625331786883,"All areas",-Inf,Inf,Inf,-Inf
"22",1,2023,"Stratum_1"," [count*km2/km2]",22890.6476766328,5500.76200612403,0.425774949800868,"All areas",-Inf,Inf,Inf,-Inf
"23",1,2024,"Stratum_1"," [count*km2/km2]",64766.9705846918,17353.270508956,0.475833065681476,"All areas",-Inf,Inf,Inf,-Inf
"24",1,2002,"Stratum_2"," [count*km2/km2]",847.044735135863,284.751944440629,0.535192167968004,"Bering_Strait",-172.5,Inf,66,64.1
"25",1,2003,"Stratum_2"," [count*km2/km2]",2876.38482757677,1135.15448533147,0.637029552605715,"Bering_Strait",-172.5,Inf,66,64.1
"26",1,2004,"Stratum_2"," [count*km2/km2]",1334.28228043788,621.607278412498,0.799083234481484,"Bering_Strait",-172.5,Inf,66,64.1
"27",1,2005,"Stratum_2"," [count*km2/km2]",653.8432124653,328.72280302806,0.994473919064259,"Bering_Strait",-172.5,Inf,66,64.1
"28",1,2006,"Stratum_2"," [count*km2/km2]",1118.08477238711,476.06493501125,0.702164785635453,"Bering_Strait",-172.5,Inf,66,64.1
"29",1,2007,"Stratum_2"," [count*km2/km2]",2900.96539313501,739.751632160404,0.389679936246202,"Bering_Strait",-172.5,Inf,66,64.1
"30",1,2008,"Stratum_2"," [count*km2/km2]",1167.05492710555,720.95056825885,1.45487009203939,"Bering_Strait",-172.5,Inf,66,64.1
"31",1,2009,"Stratum_2"," [count*km2/km2]",3572.68768818631,1345.79309681631,0.614398668592213,"Bering_Strait",-172.5,Inf,66,64.1
"32",1,2010,"Stratum_2"," [count*km2/km2]",2572.86251440616,653.38440803312,0.368698930029617,"Bering_Strait",-172.5,Inf,66,64.1
"33",1,2011,"Stratum_2"," [count*km2/km2]",5413.53902480906,1699.19106330631,0.471998148929875,"Bering_Strait",-172.5,Inf,66,64.1
"34",1,2012,"Stratum_2"," [count*km2/km2]",910.753580762207,412.108801903057,0.656339199084611,"Bering_Strait",-172.5,Inf,66,64.1
"35",1,2013,"Stratum_2"," [count*km2/km2]",884.159874942373,299.804408346321,0.496549644242072,"Bering_Strait",-172.5,Inf,66,64.1
"36",1,2014,"Stratum_2"," [count*km2/km2]",7528.04653495194,1953.74966319339,0.372086085711423,"Bering_Strait",-172.5,Inf,66,64.1
"37",1,2015,"Stratum_2"," [count*km2/km2]",4038.21366763065,1138.32754355448,0.468056777732693,"Bering_Strait",-172.5,Inf,66,64.1
"38",1,2016,"Stratum_2"," [count*km2/km2]",2709.14748773839,936.78553294434,0.590752543180957,"Bering_Strait",-172.5,Inf,66,64.1
"39",1,2017,"Stratum_2"," [count*km2/km2]",2168.22727140359,799.806167537274,0.63508356068127,"Bering_Strait",-172.5,Inf,66,64.1
"40",1,2018,"Stratum_2"," [count*km2/km2]",14625.3742652819,3146.11639772386,0.315188228936355,"Bering_Strait",-172.5,Inf,66,64.1
"41",1,2019,"Stratum_2"," [count*km2/km2]",791.863054283554,251.612444676718,0.543244048046889,"Bering_Strait",-172.5,Inf,66,64.1
"42",1,2020,"Stratum_2"," [count*km2/km2]",0,0,0,"Bering_Strait",-172.5,Inf,66,64.1
"43",1,2021,"Stratum_2"," [count*km2/km2]",2828.81234207162,1011.30590905053,0.540370521228711,"Bering_Strait",-172.5,Inf,66,64.1
"44",1,2022,"Stratum_2"," [count*km2/km2]",2926.98650545576,1097.30565418683,0.564503029561906,"Bering_Strait",-172.5,Inf,66,64.1
"45",1,2023,"Stratum_2"," [count*km2/km2]",4087.09199873201,1331.42096742274,0.499805472122457,"Bering_Strait",-172.5,Inf,66,64.1
"46",1,2024,"Stratum_2"," [count*km2/km2]",8932.63262610665,3654.90535174101,0.650030145805859,"Bering_Strait",-172.5,Inf,66,64.1
"47",1,2002,"Stratum_3"," [count*km2/km2]",16022.2118009588,2534.43197463987,0.220182361602498,"NBS",-172.5,Inf,64.1,59.9
"48",1,2003,"Stratum_3"," [count*km2/km2]",12817.2187567684,2006.45939573391,0.22964320109516,"NBS",-172.5,Inf,64.1,59.9
"49",1,2004,"Stratum_3"," [count*km2/km2]",3825.7208770016,492.495297306882,0.186410000013082,"NBS",-172.5,Inf,64.1,59.9
"50",1,2005,"Stratum_3"," [count*km2/km2]",2921.57842188038,498.227624692048,0.252764106461814,"NBS",-172.5,Inf,64.1,59.9
"51",1,2006,"Stratum_3"," [count*km2/km2]",7149.19155499054,1267.10079664325,0.251839776042311,"NBS",-172.5,Inf,64.1,59.9
"52",1,2007,"Stratum_3"," [count*km2/km2]",11947.7482518124,1798.628413234,0.208055615277552,"NBS",-172.5,Inf,64.1,59.9
"53",1,2008,"Stratum_3"," [count*km2/km2]",3549.93816343619,1797.73718728407,1.13720601904723,"NBS",-172.5,Inf,64.1,59.9
"54",1,2009,"Stratum_3"," [count*km2/km2]",12911.1920925627,2976.96850231646,0.322462365418552,"NBS",-172.5,Inf,64.1,59.9
"55",1,2010,"Stratum_3"," [count*km2/km2]",11656.1314516767,2557.96354528402,0.308632696713375,"NBS",-172.5,Inf,64.1,59.9
"56",1,2011,"Stratum_3"," [count*km2/km2]",13105.2922713634,2830.69377693781,0.287105897279904,"NBS",-172.5,Inf,64.1,59.9
"57",1,2012,"Stratum_3"," [count*km2/km2]",8741.17604012889,1871.99169134381,0.284648076054946,"NBS",-172.5,Inf,64.1,59.9
"58",1,2013,"Stratum_3"," [count*km2/km2]",8613.56571734404,2226.53888566877,0.384443046699864,"NBS",-172.5,Inf,64.1,59.9
"59",1,2014,"Stratum_3"," [count*km2/km2]",28544.9486638747,4689.72722010785,0.24449238166665,"NBS",-172.5,Inf,64.1,59.9
"60",1,2015,"Stratum_3"," [count*km2/km2]",17112.7754402532,3058.33213435355,0.264752748670354,"NBS",-172.5,Inf,64.1,59.9
"61",1,2016,"Stratum_3"," [count*km2/km2]",17497.6514293399,2811.03750972592,0.230533173067482,"NBS",-172.5,Inf,64.1,59.9
"62",1,2017,"Stratum_3"," [count*km2/km2]",6161.22052216833,1133.49739704005,0.272370370981021,"NBS",-172.5,Inf,64.1,59.9
"63",1,2018,"Stratum_3"," [count*km2/km2]",27549.1909390802,5175.17006778913,0.282006632450541,"NBS",-172.5,Inf,64.1,59.9
"64",1,2019,"Stratum_3"," [count*km2/km2]",32308.5321024827,4233.36367546327,0.193085616513805,"NBS",-172.5,Inf,64.1,59.9
"65",1,2020,"Stratum_3"," [count*km2/km2]",0,0,0,"NBS",-172.5,Inf,64.1,59.9
"66",1,2021,"Stratum_3"," [count*km2/km2]",8088.55699655073,2272.25734996946,0.372621228763386,"NBS",-172.5,Inf,64.1,59.9
"67",1,2022,"Stratum_3"," [count*km2/km2]",4266.76831239761,1041.29323377532,0.355650677349928,"NBS",-172.5,Inf,64.1,59.9
"68",1,2023,"Stratum_3"," [count*km2/km2]",8062.28098155988,1617.68086570812,0.279307790029797,"NBS",-172.5,Inf,64.1,59.9
"69",1,2024,"Stratum_3"," [count*km2/km2]",21318.9516520123,6846.71680643108,0.444491464811041,"NBS",-172.5,Inf,64.1,59.9
"70",1,2002,"Stratum_4"," [count*km2/km2]",7381.34395484438,1614.54580944865,0.309250769842112,"NBS_NW",-172.5,-166.75,59.9,57.9
"71",1,2003,"Stratum_4"," [count*km2/km2]",4347.75721164962,831.806076160461,0.276495656227801,"NBS_NW",-172.5,-166.75,59.9,57.9
"72",1,2004,"Stratum_4"," [count*km2/km2]",4987.40739354793,836.44353714233,0.237728562322518,"NBS_NW",-172.5,-166.75,59.9,57.9
"73",1,2005,"Stratum_4"," [count*km2/km2]",5190.47377167258,1066.56360808629,0.277126086586076,"NBS_NW",-172.5,-166.75,59.9,57.9
"74",1,2006,"Stratum_4"," [count*km2/km2]",407.872985478417,160.630315888176,0.536850724930132,"NBS_NW",-172.5,-166.75,59.9,57.9
"75",1,2007,"Stratum_4"," [count*km2/km2]",2410.27769339494,453.231870539105,0.261429382585804,"NBS_NW",-172.5,-166.75,59.9,57.9
"76",1,2008,"Stratum_4"," [count*km2/km2]",363.126058209929,157.159981600371,0.811140426416434,"NBS_NW",-172.5,-166.75,59.9,57.9
"77",1,2009,"Stratum_4"," [count*km2/km2]",6421.33297740998,1831.89647092713,0.430843795505108,"NBS_NW",-172.5,-166.75,59.9,57.9
"78",1,2010,"Stratum_4"," [count*km2/km2]",6244.0440409159,1469.89823634948,0.32604928281375,"NBS_NW",-172.5,-166.75,59.9,57.9
"79",1,2011,"Stratum_4"," [count*km2/km2]",622.10482117668,295.345223637762,0.81404651846072,"NBS_NW",-172.5,-166.75,59.9,57.9
"80",1,2012,"Stratum_4"," [count*km2/km2]",391.946995045241,166.006089969378,0.682525392534159,"NBS_NW",-172.5,-166.75,59.9,57.9
"81",1,2013,"Stratum_4"," [count*km2/km2]",2293.82156528552,1232.94552246725,1.14357308776275,"NBS_NW",-172.5,-166.75,59.9,57.9
"82",1,2014,"Stratum_4"," [count*km2/km2]",2908.4170794509,1225.40831316093,0.641440877985016,"NBS_NW",-172.5,-166.75,59.9,57.9
"83",1,2015,"Stratum_4"," [count*km2/km2]",2617.15519652618,1198.95530611623,0.920778006807442,"NBS_NW",-172.5,-166.75,59.9,57.9
"84",1,2016,"Stratum_4"," [count*km2/km2]",3731.26524666376,1214.61318505891,0.459105914409109,"NBS_NW",-172.5,-166.75,59.9,57.9
"85",1,2017,"Stratum_4"," [count*km2/km2]",1500.63844041408,752.891671980603,0.918894428243088,"NBS_NW",-172.5,-166.75,59.9,57.9
"86",1,2018,"Stratum_4"," [count*km2/km2]",3159.39363817624,944.412016111712,0.531662584342053,"NBS_NW",-172.5,-166.75,59.9,57.9
"87",1,2019,"Stratum_4"," [count*km2/km2]",5132.08663966028,2039.39264786444,0.773561194190442,"NBS_NW",-172.5,-166.75,59.9,57.9
"88",1,2020,"Stratum_4"," [count*km2/km2]",0,0,0,"NBS_NW",-172.5,-166.75,59.9,57.9
"89",1,2021,"Stratum_4"," [count*km2/km2]",931.28854811821,513.243142273202,1.07167762037025,"NBS_NW",-172.5,-166.75,59.9,57.9
"90",1,2022,"Stratum_4"," [count*km2/km2]",561.350904701458,267.815843223435,0.85744121818217,"NBS_NW",-172.5,-166.75,59.9,57.9
"91",1,2023,"Stratum_4"," [count*km2/km2]",861.695925685811,479.336883901404,1.0625184166394,"NBS_NW",-172.5,-166.75,59.9,57.9
"92",1,2024,"Stratum_4"," [count*km2/km2]",2612.17952736834,1466.25590935195,0.958494583016111,"NBS_NW",-172.5,-166.75,59.9,57.9
"93",1,2002,"Stratum_5"," [count*km2/km2]",5099.46921843305,958.801561409937,0.268148084768471,"SBS_NE",-166.75,Inf,59.9,57.9
"94",1,2003,"Stratum_5"," [count*km2/km2]",3748.99221351165,922.389967511148,0.387356359891925,"SBS_NE",-166.75,Inf,59.9,57.9
"95",1,2004,"Stratum_5"," [count*km2/km2]",4698.55379848257,950.857504395891,0.313009267807002,"SBS_NE",-166.75,Inf,59.9,57.9
"96",1,2005,"Stratum_5"," [count*km2/km2]",3120.29661203114,638.460059179747,0.291690379643017,"SBS_NE",-166.75,Inf,59.9,57.9
"97",1,2006,"Stratum_5"," [count*km2/km2]",267.036750586177,113.332695455517,0.728637655431468,"SBS_NE",-166.75,Inf,59.9,57.9
"98",1,2007,"Stratum_5"," [count*km2/km2]",4878.33949843769,1930.51965814762,0.56114074115454,"SBS_NE",-166.75,Inf,59.9,57.9
"99",1,2008,"Stratum_5"," [count*km2/km2]",1873.22124439401,691.93914967236,0.60974056258625,"SBS_NE",-166.75,Inf,59.9,57.9
"100",1,2009,"Stratum_5"," [count*km2/km2]",7936.44756323067,2718.45353111514,0.577688321087844,"SBS_NE",-166.75,Inf,59.9,57.9
"101",1,2010,"Stratum_5"," [count*km2/km2]",621.602343076725,281.755103887402,0.789673168323067,"SBS_NE",-166.75,Inf,59.9,57.9
"102",1,2011,"Stratum_5"," [count*km2/km2]",1037.4915020354,530.963368658548,0.967605977662019,"SBS_NE",-166.75,Inf,59.9,57.9
"103",1,2012,"Stratum_5"," [count*km2/km2]",357.533000932616,192.17802400788,1.01079223697355,"SBS_NE",-166.75,Inf,59.9,57.9
"104",1,2013,"Stratum_5"," [count*km2/km2]",1249.48508114226,692.379186705284,1.26082973158338,"SBS_NE",-166.75,Inf,59.9,57.9
"105",1,2014,"Stratum_5"," [count*km2/km2]",3487.18823873969,1637.53429525545,0.91013631058342,"SBS_NE",-166.75,Inf,59.9,57.9
"106",1,2015,"Stratum_5"," [count*km2/km2]",5758.9077075165,3099.8928789259,1.23999307572925,"SBS_NE",-166.75,Inf,59.9,57.9
"107",1,2016,"Stratum_5"," [count*km2/km2]",3827.18939769707,1361.93376425132,0.618590066231035,"SBS_NE",-166.75,Inf,59.9,57.9
"108",1,2017,"Stratum_5"," [count*km2/km2]",1453.47738470342,818.192817607623,1.28429437918857,"SBS_NE",-166.75,Inf,59.9,57.9
"109",1,2018,"Stratum_5"," [count*km2/km2]",23544.4171268024,10045.139700642,0.966960716127367,"SBS_NE",-166.75,Inf,59.9,57.9
"110",1,2019,"Stratum_5"," [count*km2/km2]",3599.81644157061,1879.23688741431,1.25527293783387,"SBS_NE",-166.75,Inf,59.9,57.9
"111",1,2020,"Stratum_5"," [count*km2/km2]",0,0,0,"SBS_NE",-166.75,Inf,59.9,57.9
"112",1,2021,"Stratum_5"," [count*km2/km2]",2004.35166689523,1134.2302020148,1.27296707487744,"SBS_NE",-166.75,Inf,59.9,57.9
"113",1,2022,"Stratum_5"," [count*km2/km2]",2909.73156429545,1386.2713247638,0.95010419072262,"SBS_NE",-166.75,Inf,59.9,57.9
"114",1,2023,"Stratum_5"," [count*km2/km2]",2392.49920638742,1341.98812821721,1.23812370090177,"SBS_NE",-166.75,Inf,59.9,57.9
"115",1,2024,"Stratum_5"," [count*km2/km2]",7926.20762869573,4299.20320152998,1.1148465363259,"SBS_NE",-166.75,Inf,59.9,57.9
"116",1,2002,"Stratum_6"," [count*km2/km2]",252.94334721359,103.101090941325,0.73975748599142,"SBS_SW",-172.5,-166.75,57.9,54.9
"117",1,2003,"Stratum_6"," [count*km2/km2]",916.538793897138,370.54711661981,0.777143253360284,"SBS_SW",-172.5,-166.75,57.9,54.9
"118",1,2004,"Stratum_6"," [count*km2/km2]",322.987574241937,110.705542865476,0.604646452113138,"SBS_SW",-172.5,-166.75,57.9,54.9
"119",1,2005,"Stratum_6"," [count*km2/km2]",235.249856758545,81.6251879807785,0.609110946660726,"SBS_SW",-172.5,-166.75,57.9,54.9
"120",1,2006,"Stratum_6"," [count*km2/km2]",41.9889373399811,20.5133574021777,0.893384718588634,"SBS_SW",-172.5,-166.75,57.9,54.9
"121",1,2007,"Stratum_6"," [count*km2/km2]",487.626463590836,151.280008104821,0.496046912537847,"SBS_SW",-172.5,-166.75,57.9,54.9
"122",1,2008,"Stratum_6"," [count*km2/km2]",191.221237382769,93.2241883939183,0.958907883358838,"SBS_SW",-172.5,-166.75,57.9,54.9
"123",1,2009,"Stratum_6"," [count*km2/km2]",1950.08368955073,556.697217287935,0.456693699703205,"SBS_SW",-172.5,-166.75,57.9,54.9
"124",1,2010,"Stratum_6"," [count*km2/km2]",299.782558763204,109.413600928444,0.625633378461828,"SBS_SW",-172.5,-166.75,57.9,54.9
"125",1,2011,"Stratum_6"," [count*km2/km2]",312.762269749416,145.212563038687,0.845201460480594,"SBS_SW",-172.5,-166.75,57.9,54.9
"126",1,2012,"Stratum_6"," [count*km2/km2]",171.687531728965,74.9359652420085,0.768412920048204,"SBS_SW",-172.5,-166.75,57.9,54.9
"127",1,2013,"Stratum_6"," [count*km2/km2]",345.738228790191,201.675644717929,1.33868009459897,"SBS_SW",-172.5,-166.75,57.9,54.9
"128",1,2014,"Stratum_6"," [count*km2/km2]",233.331383182723,106.786589886072,0.828955321937019,"SBS_SW",-172.5,-166.75,57.9,54.9
"129",1,2015,"Stratum_6"," [count*km2/km2]",1125.41719754198,641.245008831047,1.30129754508976,"SBS_SW",-172.5,-166.75,57.9,54.9
"130",1,2016,"Stratum_6"," [count*km2/km2]",464.742368619424,196.543765012581,0.814357623126383,"SBS_SW",-172.5,-166.75,57.9,54.9
"131",1,2017,"Stratum_6"," [count*km2/km2]",447.393226871404,262.077381883397,1.32757618678745,"SBS_SW",-172.5,-166.75,57.9,54.9
"132",1,2018,"Stratum_6"," [count*km2/km2]",3478.1033746059,1420.17094167196,0.7986988195996,"SBS_SW",-172.5,-166.75,57.9,54.9
"133",1,2019,"Stratum_6"," [count*km2/km2]",1087.04080125623,593.024105210968,1.27351994463827,"SBS_SW",-172.5,-166.75,57.9,54.9
"134",1,2020,"Stratum_6"," [count*km2/km2]",0,0,0,"SBS_SW",-172.5,-166.75,57.9,54.9
"135",1,2021,"Stratum_6"," [count*km2/km2]",349.311876469085,207.215413075334,1.34197963493583,"SBS_SW",-172.5,-166.75,57.9,54.9
"136",1,2022,"Stratum_6"," [count*km2/km2]",264.38617596453,131.34868457781,1.00470775394587,"SBS_SW",-172.5,-166.75,57.9,54.9
"137",1,2023,"Stratum_6"," [count*km2/km2]",310.225390418429,184.008091016755,1.33959338148511,"SBS_SW",-172.5,-166.75,57.9,54.9
"138",1,2024,"Stratum_6"," [count*km2/km2]",654.86267749375,357.941224095106,1.12763041471966,"SBS_SW",-172.5,-166.75,57.9,54.9
"139",1,2002,"Stratum_7"," [count*km2/km2]",1560.36472434374,327.3777290292,0.294750643166813,"SBS_SE",-166.75,Inf,57.9,54.9
"140",1,2003,"Stratum_7"," [count*km2/km2]",2684.97445035277,672.159261217187,0.401405211885432,"SBS_SE",-166.75,Inf,57.9,54.9
"141",1,2004,"Stratum_7"," [count*km2/km2]",2047.03185761198,374.327350815708,0.26253623348494,"SBS_SE",-166.75,Inf,57.9,54.9
"142",1,2005,"Stratum_7"," [count*km2/km2]",1994.77102417654,368.052488225696,0.257800491718626,"SBS_SE",-166.75,Inf,57.9,54.9
"143",1,2006,"Stratum_7"," [count*km2/km2]",273.36164737881,101.358516017857,0.584641158382644,"SBS_SE",-166.75,Inf,57.9,54.9
"144",1,2007,"Stratum_7"," [count*km2/km2]",9116.75393513361,3173.91417780156,0.485411131529452,"SBS_SE",-166.75,Inf,57.9,54.9
"145",1,2008,"Stratum_7"," [count*km2/km2]",705.696123541963,268.022848666941,0.644348050463464,"SBS_SE",-166.75,Inf,57.9,54.9
"146",1,2009,"Stratum_7"," [count*km2/km2]",1271.31683891213,500.690492534167,0.68636638488949,"SBS_SE",-166.75,Inf,57.9,54.9
"147",1,2010,"Stratum_7"," [count*km2/km2]",236.593920698774,95.6053325229776,0.692351633335054,"SBS_SE",-166.75,Inf,57.9,54.9
"148",1,2011,"Stratum_7"," [count*km2/km2]",636.69647104046,330.528608494347,1.01777654794576,"SBS_SE",-166.75,Inf,57.9,54.9
"149",1,2012,"Stratum_7"," [count*km2/km2]",114.832932068122,61.7589556054252,1.00436252494933,"SBS_SE",-166.75,Inf,57.9,54.9
"150",1,2013,"Stratum_7"," [count*km2/km2]",1019.7045076918,608.661701457171,1.45733657769783,"SBS_SE",-166.75,Inf,57.9,54.9
"151",1,2014,"Stratum_7"," [count*km2/km2]",1269.04964415499,558.204807289549,0.839444618029005,"SBS_SE",-166.75,Inf,57.9,54.9
"152",1,2015,"Stratum_7"," [count*km2/km2]",4261.89671364753,2509.34646253121,1.44180641507739,"SBS_SE",-166.75,Inf,57.9,54.9
"153",1,2016,"Stratum_7"," [count*km2/km2]",2256.75052318053,628.853609284601,0.443266720222712,"SBS_SE",-166.75,Inf,57.9,54.9
"154",1,2017,"Stratum_7"," [count*km2/km2]",1534.03449553287,922.61768943965,1.46766677589017,"SBS_SE",-166.75,Inf,57.9,54.9
"155",1,2018,"Stratum_7"," [count*km2/km2]",30960.8808466869,11207.0152100404,0.757162414268782,"SBS_SE",-166.75,Inf,57.9,54.9
"156",1,2019,"Stratum_7"," [count*km2/km2]",3346.61832681908,1934.13983561951,1.42264172265741,"SBS_SE",-166.75,Inf,57.9,54.9
"157",1,2020,"Stratum_7"," [count*km2/km2]",0,0,0,"SBS_SE",-166.75,Inf,57.9,54.9
"158",1,2021,"Stratum_7"," [count*km2/km2]",1418.82688959281,854.918838179428,1.47097481535887,"SBS_SE",-166.75,Inf,57.9,54.9
"159",1,2022,"Stratum_7"," [count*km2/km2]",1817.70752519777,692.391078825411,0.652829866652219,"SBS_SE",-166.75,Inf,57.9,54.9
"160",1,2023,"Stratum_7"," [count*km2/km2]",1338.62251411755,802.90666521732,1.46321132569478,"SBS_SE",-166.75,Inf,57.9,54.9
"161",1,2024,"Stratum_7"," [count*km2/km2]",5459.32228891575,2635.38527716683,0.934556032403036,"SBS_SE",-166.75,Inf,57.9,54.9
